Date;Heures;Consommation;t
2017-03-30;9;58174.0;16.14761904761907
2017-03-30;12;56274.0;20.588095238095256
2017-03-30;15;52352.0;21.45476190476193
2017-03-30;18;49325.0;17.885714285714304
2017-03-30;21;51994.0;13.771428571428595
2017-03-31;0;51276.0;12.228571428571447
2017-03-31;3;42973.0;11.640476190476212
2017-03-31;6;44448.0;10.947619047619074
2017-03-31;9;55410.0;14.66666666666669
2017-03-31;12;55641.0;16.921428571428592
2017-03-31;15;51870.0;16.864285714285735
2017-03-31;18;48655.0;13.807142857142882
2017-03-31;21;51543.0;11.516666666666694
2017-04-01;0;51511.0;10.328571428571447
2017-04-01;3;42255.0;9.252380952380978
2017-04-01;6;40742.0;8.72380952380955
2017-04-01;9;47706.0;11.257142857142881
2017-04-01;12;51576.0;12.86341463414636
2017-04-01;15;47822.0;12.650000000000023
2017-04-01;18;45730.0;10.88809523809526
2017-04-01;21;49898.0;9.366666666666688
2017-04-02;0;52240.0;8.41904761904764
2017-04-02;3;43160.0;8.03809523809526
2017-04-02;6;40676.0;7.84523809523812
2017-04-02;9;45086.0;10.928571428571448
2017-04-02;12;49761.0;13.119047619047643
2017-04-02;15;44611.0;14.045238095238123
2017-04-02;18;42528.0;12.326190476190499
2017-04-02;21;49899.0;9.89523809523812
2017-04-03;0;51421.0;8.48095238095241
2017-04-03;3;44154.0;7.471428571428592
2017-04-03;6;47668.0;6.942857142857166
2017-04-03;9;59417.0;12.907142857142885
2017-04-03;12;57820.0;17.040476190476213
2017-04-03;15;53108.0;17.72857142857145
2017-04-03;18;49359.0;15.090476190476211
2017-04-03;21;52825.0;12.138095238095259
2017-04-04;0;52394.0;10.05238095238097
2017-04-04;3;44643.0;8.957142857142879
2017-04-04;6;46972.0;8.600000000000025
2017-04-04;9;58317.0;13.642857142857164
2017-04-04;12;57957.0;16.250000000000018
2017-04-04;15;54061.0;15.983333333333354
2017-04-04;18;51303.0;13.76904761904764
2017-04-04;21;53978.0;11.407142857142881
2017-04-05;0;53703.0;10.040476190476213
2017-04-05;3;45172.0;9.076190476190499
2017-04-05;6;47332.0;8.726190476190501
2017-04-05;9;58658.0;12.33809523809526
2017-04-05;12;58674.0;14.864285714285737
2017-04-05;15;54424.0;15.319047619047643
2017-04-05;18;51317.0;13.03571428571431
2017-04-05;21;54542.0;10.08809523809526
2017-04-06;0;54336.0;8.652380952380977
2017-04-06;3;46496.0;7.102380952380974
2017-04-06;6;49198.0;6.46666666666669
2017-04-06;9;60371.0;11.49761904761907
2017-04-06;12;59419.0;14.163414634146367
2017-04-06;15;55022.0;14.938095238095261
2017-04-06;18;51448.0;12.640476190476214
2017-04-06;21;54964.0;9.083333333333357
2017-04-07;0;55213.0;6.723809523809545
2017-04-07;3;47615.0;5.083333333333361
2017-04-07;6;50382.0;4.8238095238095475
2017-04-07;9;61095.0;12.00000000000002
2017-04-07;12;58322.0;16.052380952380975
2017-04-07;15;52946.0;17.87380952380955
2017-04-07;18;49026.0;15.707142857142886
2017-04-07;21;51905.0;10.983333333333357
2017-04-08;0;52680.0;8.945238095238118
2017-04-08;3;43625.0;7.559523809523832
2017-04-08;6;42929.0;7.202380952380973
2017-04-08;9;48668.0;15.31666666666669
2017-04-08;12;48895.0;19.43809523809526
2017-04-08;15;44906.0;20.95476190476193
2017-04-08;18;41786.0;18.200000000000017
2017-04-08;21;45757.0;13.383333333333358
2017-04-09;0;48566.0;10.780952380952401
2017-04-09;3;39984.0;9.233333333333357
2017-04-09;6;37801.0;8.88809523809526
2017-04-09;9;41742.0;17.0261904761905
2017-04-09;12;44140.0;21.28809523809526
2017-04-09;15;40260.0;22.395238095238117
2017-04-09;18;38383.0;18.93809523809526
2017-04-09;21;44995.0;13.409523809523833
2017-04-10;0;46747.0;10.885714285714307
2017-04-10;3;39164.0;9.678571428571452
2017-04-10;6;41887.0;9.671428571428592
2017-04-10;9;52796.0;15.461904761904785
2017-04-10;12;54432.0;18.521428571428594
2017-04-10;15;51701.0;18.888095238095264
2017-04-10;18;48339.0;15.74285714285716
2017-04-10;21;50517.0;11.80476190476193
2017-04-11;0;50930.0;9.375609756097585
2017-04-11;3;42920.0;8.345238095238116
2017-04-11;6;44939.0;8.197619047619074
2017-04-11;9;55699.0;13.14761904761907
2017-04-11;12;56133.0;15.592857142857161
2017-04-11;15;52432.0;16.557142857142882
2017-04-11;18;48989.0;14.32439024390246
2017-04-11;21;51416.0;10.454761904761929
2017-04-12;0;52003.0;7.923809523809547
2017-04-12;3;44064.0;6.552380952380976
2017-04-12;6;46405.0;6.483333333333354
2017-04-12;9;56484.0;13.980952380952404
2017-04-12;12;56505.0;17.261904761904788
2017-04-12;15;52738.0;18.154761904761923
2017-04-12;18;49396.0;15.771428571428595
2017-04-12;21;51432.0;11.600000000000023
2017-04-13;0;52163.0;9.385365853658556
2017-04-13;3;43755.0;8.06097560975612
2017-04-13;6;45928.0;7.885714285714306
2017-04-13;9;55927.0;13.947619047619074
2017-04-13;12;56797.0;17.090476190476217
2017-04-13;15;53478.0;18.159523809523833
2017-04-13;18;50222.0;15.811904761904781
2017-04-13;21;51710.0;12.216666666666692
2017-04-14;0;52469.0;10.164285714285736
2017-04-14;3;43530.0;8.869047619047643
2017-04-14;6;44951.0;8.780952380952405
2017-04-14;9;55018.0;14.092857142857165
2017-04-14;12;55806.0;16.530952380952403
2017-04-14;15;51782.0;17.22857142857145
2017-04-14;18;48239.0;14.785714285714313
2017-04-14;21;50289.0;11.780952380952403
2017-04-15;0;51577.0;10.326190476190499
2017-04-15;3;42116.0;9.735714285714307
2017-04-15;6;40634.0;10.080952380952409
2017-04-15;9;46412.0;13.12857142857145
2017-04-15;12;50097.0;14.407142857142876
2017-04-15;15;46875.0;14.433333333333353
2017-04-15;18;44732.0;12.954761904761929
2017-04-15;21;48096.0;11.019047619047646
2017-04-16;0;50653.0;9.871428571428593
2017-04-16;3;41732.0;8.871428571428597
2017-04-16;6;39218.0;8.864285714285737
2017-04-16;9;43593.0;12.671428571428594
2017-04-16;12;46938.0;14.690476190476213
2017-04-16;15;41832.0;15.359523809523832
2017-04-16;18;39822.0;13.4261904761905
2017-04-16;21;45922.0;10.326190476190503
2017-04-17;0;49562.0;8.61666666666669
2017-04-17;3;41453.0;7.464285714285743
2017-04-17;6;40295.0;7.578571428571449
2017-04-17;9;44352.0;12.830952380952402
2017-04-17;12;48829.0;15.295238095238116
